id;placed_date;status;code
1;2020-02-01T23:31:04;COMPLETED;Georgia calculate withdrawal
2;2020-02-01T10:27:34;COMPLETED;compress Steel out-of-the-box
3;2020-02-01T11:58:46;PENDING;Concrete
4;2020-02-02T01:24:41;CANCELLED;Investment Account
5;2020-02-01T12:41:31;PENDING;United States of America
6;2020-02-02T02:53:35;CANCELLED;IB Industrial Credit Card Account
7;2020-02-02T06:00:00;CANCELLED;Cotton Egyptian Pound
8;2020-02-01T14:56:04;COMPLETED;Home Loan Account
9;2020-02-01T23:50:20;COMPLETED;Human
10;2020-02-01T09:58:58;CANCELLED;payment
